serverId,name,categories
2322,SSurvivalQQ,smp
2323,Makasmp99,smp
2324,bigcacapula,smp
2325,lew27SMP,smp
2326,GameDexs,minigames
2327,Light,smp
2328,monkeshlong2,rolePlay|prison|factions
2329,Oursmpggq,smp
2330,1boxserver,pvp|smp|minigames
2331,AlkaliBOX,pvp|farming
2332,6b6e,smp|pvp|rolePlay
2333,RoundPotat,smp
2334,beeprovince,smp
2335,mochizora,oldPVP|pvp|box
2336,Empiresbab,smp
2337,SaplingBox,smp|skyblock|farming
2338,MildIsWild,smp|pvp|rolePlay
2339,pkr1,minigames
2340,Anarchy1M,factions|pvp
2341,playrsmp,smp
2342,batbloodnet,smp
2343,MrOettam,smp
2344,MellowMines,pvp
2345,QwertySmp113,smp
2346,Bribe,farming|smp|pvp
2347,EndFall,smp|modded
2348,GABEERSMP,skyblock|minigames
2349,PVPHunting,pvp|box
2350,Survi12832,smp
2351,4Bees,smp
2352,PaalGarnaal,smp
2353,RatioSMPx,smp|modded
2354,joniworld,skyblock|prison|minigames
2355,amongusinfn,smp|pvp
2356,LPMcT,smp
2357,Aworks,pvp|minigames|smp
